# 5-regular loopless multigraphs on 8 vertices (max multiplicity 3)
# Fixed edges: [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (5, 6), (5, 6)]
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
228 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 5), (3, 5), (3, 6), (3, 6), (4, 5), (5, 6), (5, 6), (6, 7)]
229 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 5), (3, 5), (3, 5), (3, 6), (4, 6), (5, 6), (5, 6), (6, 7)]
230 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 4), (3, 5), (3, 6), (3, 6), (5, 6), (5, 6), (5, 6), (5, 7)]
231 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 7), (3, 4), (3, 5), (3, 5), (3, 6), (5, 6), (5, 6), (5, 6), (6, 7)]
235 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 6), (3, 5), (3, 5), (3, 6), (3, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
238 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 6), (3, 5), (3, 5), (3, 6), (3, 6), (4, 7), (5, 6), (5, 6), (5, 7)]
240 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 6), (3, 5), (3, 5), (3, 5), (3, 6), (4, 7), (5, 6), (5, 6), (6, 7)]
249 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 5), (3, 5), (3, 6), (3, 6), (3, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
252 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 5), (3, 5), (3, 6), (3, 6), (3, 6), (4, 7), (5, 6), (5, 6), (5, 7)]
254 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 4), (2, 4), (2, 5), (3, 5), (3, 5), (3, 6), (3, 6), (4, 7), (5, 6), (5, 6), (6, 7)]
305 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 6), (5, 6)]
309 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 5), (4, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
312 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (4, 7), (5, 6), (5, 6), (5, 6), (5, 7)]
330 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 7), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
333 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
337 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 4), (4, 7), (5, 6), (5, 6), (5, 6), (6, 7)]
462 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 4), (2, 4), (2, 7), (3, 5), (3, 6), (3, 6), (4, 5), (4, 7), (5, 6), (5, 6), (5, 6)]
466 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 4), (2, 4), (2, 7), (3, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
484 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 4), (2, 4), (2, 6), (3, 5), (3, 5), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
