# 5-regular loopless multigraphs on 8 vertices (max multiplicity 2)
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
1631 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 5), (3, 5), (6, 7), (6, 7)]
1640 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 5), (3, 6), (6, 7), (6, 7)]
1716 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 6), (2, 3), (2, 3), (2, 6), (2, 7), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 5)]
1725 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 6), (2, 3), (2, 3), (2, 6), (2, 6), (2, 7), (3, 4), (3, 7), (3, 7), (4, 5), (4, 5)]
1759 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 6), (2, 3), (2, 3), (2, 4), (2, 7), (2, 7), (3, 6), (3, 6), (3, 7), (4, 5), (4, 5)]
1774 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 6), (2, 3), (2, 3), (2, 4), (2, 6), (2, 7), (3, 6), (3, 7), (3, 7), (4, 5), (4, 5)]
1808 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 6), (2, 3), (2, 3), (2, 4), (2, 5), (2, 7), (3, 4), (3, 4), (3, 5), (6, 7), (6, 7)]
1822 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 6), (2, 3), (2, 3), (2, 4), (2, 5), (2, 5), (3, 4), (3, 4), (3, 7), (6, 7), (6, 7)]
1837 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 6), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 5), (3, 5), (6, 7), (6, 7)]
1855 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 4), (1, 4), (1, 5), (1, 5), (1, 6), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 5), (3, 7), (6, 7), (6, 7)]
